cenario_id,geracao_fv_kw,irradiancia_w_m2,carga_kw,no_rede,fator_potencia,tensao_inicial_pu,tensao_resultado_pu,classificacao_risco,origem_resultado
45,0.0,0.0,0.0,675,1.0,1.0426313134570546,1.0426313141123928,BAIXO,OPENDSS
46,0.0,0.0,500.0,675,1.0,1.0465566010760377,1.0465542535366292,BAIXO,OPENDSS
47,0.0,0.0,1000.0,675,1.0,1.0439870094004733,1.0439775939970568,BAIXO,OPENDSS
48,0.0,0.0,1500.0,675,1.0,1.04793400185747,1.0479247739302335,BAIXO,OPENDSS
49,0.0,0.0,2000.0,675,1.0,1.0448693989505173,1.0448607573985274,BAIXO,OPENDSS
50,0.0,250.0,0.0,675,1.0,1.0426313134570546,1.0426313141123928,BAIXO,OPENDSS
51,0.0,250.0,500.0,675,1.0,1.0465566010760377,1.0465542535366292,BAIXO,OPENDSS
52,0.0,250.0,1000.0,675,1.0,1.0439870094004733,1.0439775939970568,BAIXO,OPENDSS
53,0.0,250.0,1500.0,675,1.0,1.04793400185747,1.0479247739302335,BAIXO,OPENDSS
54,0.0,250.0,2000.0,675,1.0,1.0448693989505173,1.0448607573985274,BAIXO,OPENDSS
55,0.0,500.0,0.0,675,1.0,1.0426313134570546,1.0426313141123928,BAIXO,OPENDSS
56,0.0,500.0,500.0,675,1.0,1.0465566010760377,1.0465542535366292,BAIXO,OPENDSS
57,0.0,500.0,1000.0,675,1.0,1.0439870094004733,1.0439775939970568,BAIXO,OPENDSS
58,0.0,500.0,1500.0,675,1.0,1.04793400185747,1.0479247739302335,BAIXO,OPENDSS
59,0.0,500.0,2000.0,675,1.0,1.0448693989505173,1.0448607573985274,BAIXO,OPENDSS
60,0.0,750.0,0.0,675,1.0,1.0426313134570546,1.0426313141123928,BAIXO,OPENDSS
61,0.0,750.0,500.0,675,1.0,1.0465566010760377,1.0465542535366292,BAIXO,OPENDSS
62,0.0,750.0,1000.0,675,1.0,1.0439870094004733,1.0439775939970568,BAIXO,OPENDSS
63,0.0,750.0,1500.0,675,1.0,1.04793400185747,1.0479247739302335,BAIXO,OPENDSS
64,0.0,750.0,2000.0,675,1.0,1.0448693989505173,1.0448607573985274,BAIXO,OPENDSS
65,0.0,1000.0,0.0,675,1.0,1.0426313134570546,1.0426313141123928,BAIXO,OPENDSS
66,0.0,1000.0,500.0,675,1.0,1.0465566010760377,1.0465542535366292,BAIXO,OPENDSS
67,0.0,1000.0,1000.0,675,1.0,1.0439870094004733,1.0439775939970568,BAIXO,OPENDSS
68,0.0,1000.0,1500.0,675,1.0,1.04793400185747,1.0479247739302335,BAIXO,OPENDSS
69,0.0,1000.0,2000.0,675,1.0,1.0448693989505173,1.0448607573985274,BAIXO,OPENDSS
70,1000.0,0.0,0.0,675,1.0,1.0426313134570546,1.0426313141123928,BAIXO,OPENDSS
71,1000.0,0.0,500.0,675,1.0,1.0465566010760377,1.0465542535366292,BAIXO,OPENDSS
72,1000.0,0.0,1000.0,675,1.0,1.0439870094004733,1.0439775939970568,BAIXO,OPENDSS
73,1000.0,0.0,1500.0,675,1.0,1.04793400185747,1.0479247739302335,BAIXO,OPENDSS
74,1000.0,0.0,2000.0,675,1.0,1.0448693989505173,1.0448607573985274,BAIXO,OPENDSS
75,1000.0,250.0,0.0,675,1.0,1.0426313134570546,1.0439036423852475,BAIXO,OPENDSS
76,1000.0,250.0,500.0,675,1.0,1.0465566010760377,1.0478369756675348,BAIXO,OPENDSS
77,1000.0,250.0,1000.0,675,1.0,1.0439870094004733,1.0452690254083297,BAIXO,OPENDSS
78,1000.0,250.0,1500.0,675,1.0,1.04793400185747,1.049187026609795,BAIXO,OPENDSS
79,1000.0,250.0,2000.0,675,1.0,1.0448693989505173,1.0461015070768664,BAIXO,OPENDSS
80,1000.0,500.0,0.0,675,1.0,1.0426313134570546,1.045151230331635,BAIXO,OPENDSS
81,1000.0,500.0,500.0,675,1.0,1.0465566010760377,1.0491105247110988,BAIXO,OPENDSS
82,1000.0,500.0,1000.0,675,1.0,1.0439870094004733,1.046557470273478,BAIXO,OPENDSS
83,1000.0,500.0,1500.0,675,1.0,1.04793400185747,1.0504150006306834,ATENÇÃO,OPENDSS
84,1000.0,500.0,2000.0,675,1.0,1.0448693989505173,1.047413388898622,BAIXO,OPENDSS
85,1000.0,750.0,0.0,675,1.0,1.0426313134570546,1.0463880218037478,BAIXO,OPENDSS
86,1000.0,750.0,500.0,675,1.0,1.0465566010760377,1.0503381920500032,ATENÇÃO,OPENDSS
87,1000.0,750.0,1000.0,675,1.0,1.0439870094004733,1.0478396749012937,BAIXO,OPENDSS
88,1000.0,750.0,1500.0,675,1.0,1.04793400185747,1.0515949471090527,ATENÇÃO,OPENDSS
89,1000.0,750.0,2000.0,675,1.0,1.0448693989505173,1.0487428938932333,BAIXO,OPENDSS
90,1000.0,1000.0,0.0,675,1.0,1.0426313134570546,1.047606681550063,BAIXO,OPENDSS
91,1000.0,1000.0,500.0,675,1.0,1.0465566010760377,1.051535196441522,ATENÇÃO,OPENDSS
92,1000.0,1000.0,1000.0,675,1.0,1.0439870094004733,1.0491126482674904,BAIXO,OPENDSS
93,1000.0,1000.0,1500.0,675,1.0,1.04793400185747,1.0527785447746276,ATENÇÃO,OPENDSS
94,1000.0,1000.0,2000.0,675,1.0,1.0448693989505173,1.0500481563068373,ATENÇÃO,OPENDSS
95,2000.0,0.0,0.0,675,1.0,1.0426313134570546,1.0426313141123928,BAIXO,OPENDSS
96,2000.0,0.0,500.0,675,1.0,1.0465566010760377,1.0465542535366292,BAIXO,OPENDSS
97,2000.0,0.0,1000.0,675,1.0,1.0439870094004733,1.0439775939970568,BAIXO,OPENDSS
98,2000.0,0.0,1500.0,675,1.0,1.04793400185747,1.0479247739302335,BAIXO,OPENDSS
99,2000.0,0.0,2000.0,675,1.0,1.0448693989505173,1.0448607573985274,BAIXO,OPENDSS
100,2000.0,250.0,0.0,675,1.0,1.0426313134570546,1.045151230331635,BAIXO,OPENDSS
101,2000.0,250.0,500.0,675,1.0,1.0465566010760377,1.0491105247110988,BAIXO,OPENDSS
102,2000.0,250.0,1000.0,675,1.0,1.0439870094004733,1.046557470273478,BAIXO,OPENDSS
103,2000.0,250.0,1500.0,675,1.0,1.04793400185747,1.0504150006306834,ATENÇÃO,OPENDSS
104,2000.0,250.0,2000.0,675,1.0,1.0448693989505173,1.047413388898622,BAIXO,OPENDSS
105,2000.0,500.0,0.0,675,1.0,1.0426313134570546,1.047606681550063,BAIXO,OPENDSS
106,2000.0,500.0,500.0,675,1.0,1.0465566010760377,1.051535196441522,ATENÇÃO,OPENDSS
107,2000.0,500.0,1000.0,675,1.0,1.0439870094004733,1.0491126482674904,BAIXO,OPENDSS
108,2000.0,500.0,1500.0,675,1.0,1.04793400185747,1.0527785447746276,ATENÇÃO,OPENDSS
